"tripnum","depotcode","transporter","vehiclereg","startdate","stopdate","avg_percent","loaddate","total_trip_time","total_distance"
"2024-0058685",EB06,Makwande,LB67VBGP,2024-10-06 12:00:00.000,,94.9,2024-10-06 11:57:00.000 +0200,,0
"2024-0045351",EB06,Reef Tankers,HJ73JZGP,2024-08-03 19:17:00.000,,94.31,2024-08-03 19:11:00.000 +0200,,0
"2024-0045338",EA33,Unitrans Supply Chain Sols,CAA418992,2024-08-03 15:57:00.000,,90.53,2024-08-03 15:53:00.000 +0200,,0
"2024-0045338",EA33,Unitrans Supply Chain Sols,CAA418992,2024-08-03 15:57:00.000,2024-08-03 21:10:00.000,90.53,2024-08-03 15:53:00.000 +0200,18780.0,71
"2024-0051549",EA33,Unitrans Supply Chain Sols,CAA419006,,,94.03,,,66
"2024-0062746",EB06,Tanker Services Fuel,KP80MRGP,2024-10-24 21:48:00.000,2024-10-25 20:36:00.000,91.9,2024-10-24 21:45:00.000 +0200,82080.0,260
"2024-0056506",EB23,Makwande,KR60ZBGP,2024-09-25 22:34:00.000,,43.94,2024-09-25 22:29:00.000 +0200,,0
"2024-0058067",EB06,Tanker Services Fuel,KP69XNGP,2024-10-03 12:31:00.000,,90.89,2024-10-03 12:23:00.000 +0200,,0
"2024-0060503",EB23,Makwande,KR60ZBGP,2024-10-14 17:48:00.000,,69.74,2024-10-14 17:48:00.000 +0200,,0
"2024-0060581",EB21,Makwande,KP75JPGP,2024-10-15 01:30:00.000,,68.64,2024-10-15 01:30:00.000 +0200,,0
"2024-0046632",EA33,Unitrans Supply Chain Sols,CAA130019,2024-08-10 10:14:00.000,2024-08-10 22:30:00.000,80.51,2024-08-10 10:08:00.000 +0200,44160.0,138
"2024-0047163",EB06,Tanker Services Fuel,KS68YTGP,2024-08-12 23:08:00.000,2024-08-13 09:19:00.000,76.58,2024-08-12 23:02:00.000 +0200,36660.0,60
"2024-0047163",EB06,Tanker Services Fuel,KR89BYGP,2024-08-12 23:08:00.000,2024-08-13 09:19:00.000,71.76,2024-08-12 23:02:00.000 +0200,36660.0,60
"2024-0049270",EB06,Reef Tankers,HJ29LCGP,2024-08-22 15:41:00.000,,94.49,2024-08-22 15:23:00.000 +0200,,0
"2024-0051535",EB21,Makwande,KN23MGGP,,,58.68,,,440
"2024-0056302",EB21,Makwande,KN23LYGP,2024-09-25 06:00:00.000,,56.32,2024-09-25 01:29:00.000 +0200,,0
"2024-0057141",EB21,Makwande,KS49WFGP,2024-09-29 08:09:00.000,,81.08,2024-09-29 08:09:00.000 +0200,,0
"2024-0057141",EB21,Makwande,KS49XBGP,2024-09-29 08:09:00.000,,88.61,2024-09-29 08:09:00.000 +0200,,0
"2024-0060465",EB06,Reef Tankers,LV19PDGP,2024-10-14 14:46:00.000,,91.07,2024-10-14 14:41:00.000 +0200,,0
"2024-0060076",EB23,Makwande,KNP800MP,2024-10-12 17:47:00.000,,78.4,2024-10-12 17:46:00.000 +0200,,0
"2024-0052617",EA33,Unitrans Supply Chain Sols,CAA329952,2024-09-07 16:09:00.000,2024-09-07 19:16:00.000,38.15,2024-09-07 13:59:00.000 +0200,11220.0,22
"2024-0057670",EB21,Unitrans Supply Chain Sols,CAA425318,2024-10-01 16:21:00.000,,88.06,2024-10-01 16:16:00.000 +0200,,0
"2024-0059524",EB06,Reef Tankers,HJ73JZGP,2024-10-09 22:50:00.000,,92.86,2024-10-09 22:38:00.000 +0200,,0
"2024-0056719",EB06,Tanker Services Fuel,KP74KMGP,2024-09-26 22:28:00.000,2024-09-27 08:55:00.000,66.68,2024-09-26 22:21:00.000 +0200,37620.0,76
"2024-0058200",EB05,Tanker Services Fuel,KP57KCGP,2024-10-04 08:02:00.000,,79.5,2024-10-04 07:53:00.000 +0200,,0
"2024-0058639",EB06,Tanker Services Fuel,KP80NNGP,2024-10-06 09:38:00.000,2024-10-06 20:37:00.000,93.15,2024-10-06 09:25:00.000 +0200,39540.0,336
"2024-0046429",EB21,Makwande,KNF950MP,2024-08-09 06:00:00.000,2024-08-09 14:38:00.000,90.51,2024-08-09 03:12:00.000 +0200,31080.0,227
"2024-0048824",EA33,Unitrans Supply Chain Sols,CAA329932,2024-08-20 17:33:00.000,2024-08-20 23:46:00.000,88.15,2024-08-20 17:30:00.000 +0200,22380.0,135
"2024-0049747",EB23,Makwande,KNM193MP,2024-08-25 02:20:00.000,2024-08-25 16:00:00.000,89.15,2024-08-25 02:20:00.000 +0200,49200.0,365
"2024-0052085",EB21,Makwande,KN23LYGP,2024-09-05 09:46:00.000,2024-09-05 15:36:00.000,88.74,2024-09-05 09:44:00.000 +0200,21000.0,106
"2024-0053562",EA33,Unitrans Supply Chain Sols,CAA329932,2024-09-11 22:16:00.000,2024-09-12 08:18:00.000,70.64,2024-09-11 21:54:00.000 +0200,36120.0,108
"2024-0054510",EB06,Tanker Services Fuel,KP69XNGP,2024-09-16 13:19:00.000,,94.7,2024-09-16 13:10:00.000 +0200,,0
"2024-0058638",EB21,Makwande,KN67GLGP,2024-10-06 09:35:00.000,2024-10-06 18:05:00.000,88.53,2024-10-06 09:35:00.000 +0200,30600.0,153
"2024-0061338",EB06,Tanker Services Fuel,KP55MSGP,2024-10-18 09:33:00.000,2024-10-18 13:49:00.000,88.73,2024-10-18 09:31:00.000 +0200,15360.0,54
"2024-0061240",EB06,Reef Tankers,LC21DTGP,2024-10-17 22:04:00.000,,94.95,2024-10-17 21:56:00.000 +0200,,0
"2024-0046211",EB21,Makwande,KN23LYGP,2024-08-08 06:00:00.000,2024-08-08 10:10:00.000,56.37,2024-08-08 02:12:00.000 +0200,15000.0,41
"2024-0046562",EB21,Makwande,KS49XLGP,2024-08-09 20:09:00.000,2024-08-09 23:43:00.000,87.16,2024-08-09 20:09:00.000 +0200,12840.0,57
"2024-0046562",EB21,Makwande,KS49WRGP,2024-08-09 20:09:00.000,2024-08-09 23:43:00.000,89.33,2024-08-09 20:09:00.000 +0200,12840.0,57
"2024-0047587",EB21,Makwande,KN31RWGP,2024-08-14 19:55:00.000,2024-08-14 23:04:00.000,86.21,2024-08-14 19:55:00.000 +0200,11340.0,39
"2024-0051982",EA33,Unitrans Supply Chain Sols,CAA170724,2024-09-04 20:00:00.000,2024-09-05 01:03:00.000,87.01,2024-09-04 19:59:00.000 +0200,18180.0,139
"2024-0061741",EA33,Unitrans Supply Chain Sols,CAA192673,2024-10-20 10:51:00.000,2024-10-20 17:37:00.000,78.97,2024-10-20 10:48:00.000 +0200,24360.0,67
"2024-0062267",EB05,Tanker Services Fuel,KP57JXGP,2024-10-22 16:19:00.000,,89.27,2024-10-22 16:19:00.000 +0200,,0
"2024-0062371",EB23,Makwande,JMJ091MP,2024-10-23 08:15:00.000,2024-10-23 15:30:00.000,79.72,2024-10-23 08:15:00.000 +0200,26100.0,136
"2024-0053755",EB06,Tanker Services Fuel,KP80GGGP,2024-09-12 17:25:00.000,,92.09,2024-09-12 17:15:00.000 +0200,,0
"2024-0059756",EB21,Makwande,KP41VSGP,2024-10-11 02:07:00.000,,89.63,2024-10-11 02:04:00.000 +0200,,0
"2024-0046543",EB06,ManLine Energy,KPV575MP,2024-08-09 18:01:00.000,,82.39,2024-08-09 17:40:00.000 +0200,,0
"2024-0049287",EB23,Makwande,KNM197MP,2024-08-22 17:40:00.000,,87.17,2024-08-22 17:36:00.000 +0200,,0
"2024-0062459",EA33,Unitrans Supply Chain Sols,CAA425318,2024-10-23 14:22:00.000,2024-10-23 20:06:00.000,93.76,2024-10-23 14:20:00.000 +0200,20640.0,56
"2024-0063441",EB21,Makwande,KN31RWGP,2024-10-28 09:43:00.000,2024-10-28 16:00:00.000,82.09,2024-10-28 09:43:00.000 +0200,22620.0,143
"2024-0054565",EB23,Makwande,KNP802MP,2024-09-16 17:25:00.000,,77.59,2024-09-16 17:25:00.000 +0200,,0
"2024-0054565",EB23,Makwande,KNP800MP,2024-09-16 17:25:00.000,,86.92,2024-09-16 17:25:00.000 +0200,,0
"2024-0055222",EB05,Tanker Services Fuel,KP70CBGP,2024-09-19 15:21:00.000,,92.94,2024-09-19 15:15:00.000 +0200,,0
"2024-0058279",EB06,Tanker Services Fuel,KR15VMGP,2024-10-04 10:29:00.000,2024-10-04 20:51:00.000,48.11,2024-10-04 10:25:00.000 +0200,37320.0,39
"2024-0051110",EA33,Unitrans Supply Chain Sols,CAA548852,,,85.06,,,122
"2024-0061697",EB06,Reef Tankers,HH81RLGP,2024-10-20 03:57:00.000,,92.09,2024-10-20 03:50:00.000 +0200,,0
"2024-0062743",EA33,Unitrans Supply Chain Sols,CAA142820,2024-10-24 21:33:00.000,2024-10-25 13:02:00.000,67.9,2024-10-24 21:28:00.000 +0200,55740.0,141
"2024-0046356",EA33,Reef Tankers,LC21FWGP,2024-08-08 15:59:00.000,,92.9,2024-08-08 15:43:00.000 +0200,,0
"2024-0048883",EB06,Tanker Services Fuel,KP69YDGP,2024-08-21 01:45:00.000,2024-08-21 15:38:00.000,87.57,2024-08-21 01:38:00.000 +0200,49980.0,364
"2024-0049817",EA33,Unitrans Supply Chain Sols,CAA170724,2024-08-26 00:24:00.000,2024-08-26 12:32:00.000,93.94,2024-08-26 00:22:00.000 +0200,43680.0,69
"2024-0062781",EA33,Unitrans Supply Chain Sols,CAA130046,2024-10-25 03:11:00.000,,94.83,2024-10-25 03:09:00.000 +0200,,0
"2024-0054349",EB06,Makwande,JR54VBGP,2024-09-15 21:05:00.000,,77.77,2024-09-15 20:44:00.000 +0200,,0
"2024-0055094",EB06,Tanker Services Fuel,KP55MSGP,2024-09-19 00:16:00.000,,94.58,2024-09-19 00:06:00.000 +0200,,0
"2024-0058909",EB06,Tanker Services Fuel,KP80ZYGP,2024-10-07 11:09:00.000,,73.29,2024-10-07 10:41:00.000 +0200,,0
"2024-0058909",EB06,Tanker Services Fuel,KP74KMGP,2024-10-07 11:09:00.000,,88.44,2024-10-07 10:41:00.000 +0200,,0
"2024-0045011",EA33,Unitrans Supply Chain Sols,CAA142820,2024-08-02 00:44:00.000,,71.23,2024-08-02 00:41:00.000 +0200,,0
"2024-0045011",EA33,Unitrans Supply Chain Sols,CAA142820,2024-08-02 00:44:00.000,2024-08-02 21:50:00.000,71.23,2024-08-02 00:41:00.000 +0200,75960.0,448
"2024-0045263",EB21,Unitrans Supply Chain Sols,CAA425307,2024-08-03 10:53:00.000,,42.22,2024-08-03 10:40:00.000 +0200,,0
"2024-0046629",EB06,Tanker Services Fuel,KP69YDGP,2024-08-10 10:00:00.000,,78.8,2024-08-10 09:52:00.000 +0200,,0
"2024-0048071",EB21,Unitrans Supply Chain Sols,CAA548852,2024-08-16 23:32:00.000,,91.87,2024-08-16 23:32:00.000 +0200,,0
"2024-0047588",EA33,Unitrans Supply Chain Sols,CAA329932,2024-08-14 19:57:00.000,2024-08-15 01:19:00.000,89.45,2024-08-14 19:38:00.000 +0200,19320.0,124
"2024-0050393",EB06,Makwande,JR54VBGP,2024-08-28 13:49:00.000,,83.46,2024-08-28 13:30:00.000 +0200,,0
"2024-0056123",EB21,Makwande,KN52WDGP,2024-09-24 06:00:00.000,2024-09-24 16:00:00.000,86.29,2024-09-24 04:05:00.000 +0200,36000.0,323
"2024-0057491",EB21,Unitrans Supply Chain Sols,CAA425430,2024-09-30 20:14:00.000,,85.12,2024-09-30 20:13:00.000 +0200,,0
"2024-0057806",EB21,Makwande,KS49XBGP,2024-10-02 10:01:00.000,,92.94,2024-10-02 09:59:00.000 +0200,,0
"2024-0057806",EB21,Makwande,KS49WFGP,2024-10-02 10:01:00.000,,88.56,2024-10-02 09:59:00.000 +0200,,0
"2024-0058221",EB06,Tanker Services Fuel,KP70BFGP,2024-10-04 09:10:00.000,,74.44,2024-10-04 08:57:00.000 +0200,,0
"2024-0058711",EB06,Reef Tankers,LV19PDGP,2024-10-06 14:00:00.000,,91.01,2024-10-06 13:56:00.000 +0200,,0
"2024-0060141",EA33,Unitrans Supply Chain Sols,CAA425312,2024-10-13 01:20:00.000,2024-10-13 18:02:00.000,85.43,2024-10-13 01:19:00.000 +0200,60120.0,145
"2024-0047862",EB06,Tanker Services Fuel,KP74KMGP,2024-08-16 08:47:00.000,2024-08-16 12:07:00.000,29.96,2024-08-16 08:37:00.000 +0200,12000.0,27
"2024-0048884",EB21,Makwande,KN23LXGP,2024-08-21 01:57:00.000,2024-08-21 20:00:00.000,59.36,2024-08-21 01:53:00.000 +0200,64980.0,468
"2024-0051798",EA35,Unitrans Supply Chain Sols,CAA133421,2024-09-04 07:47:00.000,,84.74,2024-09-04 07:40:00.000 +0200,,0
"2024-0062066",EA33,Unitrans Supply Chain Sols,CAA329932,2024-10-21 19:30:00.000,2024-10-22 00:46:00.000,78.67,2024-10-21 19:28:00.000 +0200,18960.0,98
"2024-0062308",EB06,Tanker Services Fuel,KR44GGGP,2024-10-22 22:07:00.000,2024-10-23 09:18:00.000,54.3,2024-10-22 22:07:00.000 +0200,40260.0,202
"2024-0062308",EB06,Tanker Services Fuel,KR15VMGP,2024-10-22 22:07:00.000,2024-10-23 09:18:00.000,93.2,2024-10-22 22:07:00.000 +0200,40260.0,202
"2024-0054031",EB06,Makwande,KB53VBGP,2024-09-13 23:19:00.000,,93.96,2024-09-13 22:59:00.000 +0200,,0
"2024-0054092",EB06,Tanker Services Fuel,HG68LCGP,2024-09-14 09:07:00.000,,70.53,2024-09-14 08:58:00.000 +0200,,0
"2024-0054787",EA33,Unitrans Supply Chain Sols,CAA425312,2024-09-17 16:04:00.000,,93.85,2024-09-17 15:57:00.000 +0200,,0
"2024-0056936",EA33,Unitrans Supply Chain Sols,CAA170724,2024-09-27 23:43:00.000,,90.45,2024-09-27 23:16:00.000 +0200,,0
"2024-0060132",EB06,Reef Tankers,HJ95MFGP,2024-10-13 01:08:00.000,,83.89,2024-10-13 01:06:00.000 +0200,,0
"2024-0049864",EA35,Unitrans Supply Chain Sols,CAA419011,2024-08-26 09:40:00.000,2024-08-27 06:45:00.000,91.93,2024-08-26 09:40:00.000 +0200,75900.0,342
"2024-0053641",EB05,Tanker Services Fuel,KP57KCGP,2024-09-12 09:17:00.000,2024-09-12 17:15:00.000,93.44,2024-09-11 12:42:00.000 +0200,28680.0,680
"2024-0054660",EB21,Makwande,KN23MGGP,2024-09-17 03:53:00.000,2024-09-17 18:10:00.000,91.26,2024-09-17 03:51:00.000 +0200,51420.0,54
"2024-0057968",EA33,Unitrans Supply Chain Sols,CAA170724,2024-10-03 01:04:00.000,,44.18,2024-10-03 01:03:00.000 +0200,,0
"2024-0059924",EB23,Makwande,KNM209MP,2024-10-11 19:28:00.000,,82.98,2024-10-11 19:26:00.000 +0200,,0
"2024-0061350",EB05,Tanker Services Fuel,KP70DSGP,2024-10-18 10:02:00.000,,88.99,2024-10-18 09:40:00.000 +0200,,0
"2024-0048512",EB06,Tanker Services Fuel,KP80NNGP,2024-08-19 13:49:00.000,2024-08-20 09:12:00.000,93.15,2024-08-19 13:18:00.000 +0200,69780.0,246
"2024-0048274",EB06,Reef Tankers,LC21FWGP,2024-08-18 00:41:00.000,,92.47,2024-08-18 00:33:00.000 +0200,,0
"2024-0049812",EA33,Unitrans Supply Chain Sols,CAA198199,2024-08-25 23:47:00.000,2024-08-26 12:25:00.000,52.89,2024-08-25 23:42:00.000 +0200,45480.0,148
"2024-0062447",EA33,Unitrans Supply Chain Sols,CAA418992,2024-10-23 13:31:00.000,2024-10-23 20:21:00.000,93.51,2024-10-23 13:25:00.000 +0200,24600.0,142
"2024-0053578",EB21,Makwande,KN23LXGP,2024-09-11 23:59:00.000,,94.49,2024-09-11 23:59:00.000 +0200,,0
"2024-0058253",EB06,Tanker Services Fuel,KP69YSGP,2024-10-04 09:47:00.000,,84.76,2024-10-04 09:36:00.000 +0200,,0
"2024-0063778",EB21,Makwande,KN93YRGP,2024-10-29 15:39:00.000,,94.83,2024-10-29 15:39:00.000 +0200,,0
"2024-0048324",EB23,Makwande,KNM209MP,2024-08-18 19:44:00.000,,91.61,2024-08-18 19:40:00.000 +0200,,0
"2024-0051104",EB06,Reef Tankers,HJ73JCGP,2024-08-31 23:01:00.000,,93.84,2024-08-31 22:55:00.000 +0200,,0
"2024-0057895",EB08,Tanker Services Fuel,KR64VWGP,2024-10-02 16:33:00.000,,92.17,2024-10-02 16:22:00.000 +0200,,0
"2024-0061309",EB23,Makwande,KNM191MP,2024-10-18 08:23:00.000,2024-10-18 14:30:00.000,41.38,2024-10-18 08:19:00.000 +0200,22020.0,211
"2024-0047101",EB21,Makwande,KN93YRGP,2024-08-12 16:36:00.000,,84.9,2024-08-12 16:35:00.000 +0200,,0
"2024-0051091",EB21,Makwande,KN23LYGP,,,54.11,,,53
"2024-0060284",EB21,Makwande,KN23LYGP,2024-10-13 21:04:00.000,2024-10-14 01:10:00.000,88.29,2024-10-13 21:01:00.000 +0200,14760.0,10
"2024-0060664",EB05,Reef Tankers,JZ26LLGP,2024-10-15 11:35:00.000,,42.57,2024-10-14 00:00:00.000 +0200,,0
"2024-0046876",EB21,Makwande,KN31RWGP,2024-08-11 20:04:00.000,,84.01,2024-08-11 20:04:00.000 +0200,,0
"2024-0047392",EB21,Makwande,KN23MGGP,2024-08-13 22:46:00.000,2024-08-14 01:30:00.000,76.89,2024-08-13 22:35:00.000 +0200,9840.0,53
"2024-0052156",EA33,Unitrans Supply Chain Sols,CAA130046,2024-09-05 14:15:00.000,2024-09-05 19:25:00.000,72.39,2024-09-05 13:23:00.000 +0200,18600.0,92
"2024-0057072",EB06,Tanker Services Fuel,KP69WCGP,2024-09-28 16:07:00.000,,77.89,2024-09-28 15:45:00.000 +0200,,0
"2024-0059945",EA33,Unitrans Supply Chain Sols,CAA130019,2024-10-11 21:14:00.000,2024-10-12 08:17:00.000,81.56,2024-10-11 21:13:00.000 +0200,39780.0,211
"2024-0044909",EB06,Tanker Services Fuel,KS68YTGP,2024-08-01 11:40:00.000,,73.71,2024-08-01 11:22:00.000 +0200,,0
"2024-0044909",EB06,Tanker Services Fuel,KR89BYGP,2024-08-01 11:40:00.000,,78.61,2024-08-01 11:22:00.000 +0200,,0
"2024-0044909",EB06,Tanker Services Fuel,KS68YTGP,2024-08-01 11:40:00.000,2024-08-01 23:59:00.000,73.71,2024-08-01 11:22:00.000 +0200,44340.0,120
"2024-0044909",EB06,Tanker Services Fuel,KR89BYGP,2024-08-01 11:40:00.000,2024-08-01 23:59:00.000,78.61,2024-08-01 11:22:00.000 +0200,44340.0,120
"2024-0063078",EA35,Unitrans Supply Chain Sols,CAA419006,2024-10-26 11:45:00.000,,94.25,2024-10-26 11:22:00.000 +0200,,0
"2024-0054224",EB21,Makwande,KP41VSGP,2024-09-14 21:08:00.000,,91.53,2024-09-14 21:08:00.000 +0200,,0
"2024-0058360",EB21,Makwande,KN23LYGP,2024-10-04 20:03:00.000,2024-10-05 03:47:00.000,94.12,2024-10-04 20:02:00.000 +0200,27840.0,243
"2024-0060158",EB23,Makwande,KR60ZBGP,2024-10-13 07:54:00.000,,90.61,2024-10-13 07:53:00.000 +0200,,0
"2024-0061052",EA33,Unitrans Supply Chain Sols,CAA425318,2024-10-17 01:17:00.000,,94.47,2024-10-17 01:14:00.000 +0200,,0
"2024-0062748",EB06,Tanker Services Fuel,KP80NNGP,2024-10-24 22:08:00.000,2024-10-25 10:09:00.000,89.17,2024-10-24 22:05:00.000 +0200,43260.0,54
"2024-0063173",EB06,Tanker Services Fuel,KP69YSGP,2024-10-26 21:46:00.000,2024-10-27 02:15:00.000,79.93,2024-10-26 21:43:00.000 +0200,16140.0,57
"2024-0063065",EB06,Tanker Services Fuel,KP80HXGP,2024-10-26 10:57:00.000,,86.88,2024-10-26 10:53:00.000 +0200,,0
"2024-0053534",EB23,Makwande,KNM191MP,2024-09-11 19:42:00.000,,88.15,2024-09-11 19:42:00.000 +0200,,0
"2024-0059491",EA33,Unitrans Supply Chain Sols,CAA198199,2024-10-09 19:55:00.000,,88.8,2024-10-09 19:50:00.000 +0200,,0
"2024-0061823",EB06,Tanker Services Fuel,KP55MSGP,2024-10-20 20:44:00.000,2024-10-21 15:18:00.000,92.5,2024-10-20 20:39:00.000 +0200,66840.0,182
"2024-0062556",EB06,Tanker Services Fuel,HG68LCGP,2024-10-24 01:09:00.000,2024-10-24 12:21:00.000,87.47,2024-10-24 01:06:00.000 +0200,40320.0,52
"2024-0052193",EA35,Makwande,KYT268MP,2024-09-05 17:14:00.000,,86.55,2024-09-05 17:00:00.000 +0200,,0
"2024-0055034",EA33,Unitrans Supply Chain Sols,CAA548852,2024-09-18 16:12:00.000,2024-09-19 00:50:00.000,71.82,2024-09-18 16:09:00.000 +0200,31080.0,119
"2024-0055237",EB05,Anax Logistics,JDG640EC,2024-09-19 16:58:00.000,,92.21,2024-09-19 16:57:00.000 +0200,,0
"2024-0058777",EB06,Tanker Services Fuel,KP69XNGP,2024-10-06 22:10:00.000,,81.77,2024-10-06 22:05:00.000 +0200,,0
"2024-0045375",EA33,Unitrans Supply Chain Sols,CAA418992,2024-08-03 22:02:00.000,,93.92,2024-08-03 21:33:00.000 +0200,,0
"2024-0047138",EB21,Makwande,KP57DGGP,2024-08-12 20:59:00.000,2024-08-13 00:15:00.000,81.24,2024-08-12 20:54:00.000 +0200,11760.0,53
"2024-0048946",EA33,Unitrans Supply Chain Sols,CAA548852,2024-08-21 10:00:00.000,2024-08-21 19:19:00.000,85.69,2024-08-21 09:58:00.000 +0200,33540.0,318
"2024-0058648",EB21,Unitrans Supply Chain Sols,CAA457059,2024-10-06 09:51:00.000,,84.23,2024-10-06 09:51:00.000 +0200,,0
"2024-0061200",EB21,Makwande,KP57DGGP,2024-10-17 19:26:00.000,,93.27,2024-10-17 19:16:00.000 +0200,,0
"2024-0045618",EB06,Tanker Services Fuel,KP80GGGP,2024-08-05 10:50:00.000,,28.58,2024-08-05 10:44:00.000 +0200,,0
"2024-0049318",EA33,Unitrans Supply Chain Sols,CAA142820,2024-08-22 21:52:00.000,2024-08-23 00:40:00.000,92.81,2024-08-22 19:52:00.000 +0200,10080.0,76
"2024-0052680",EA33,Unitrans Supply Chain Sols,CAA419006,2024-09-08 01:18:00.000,2024-09-08 07:42:00.000,84.05,2024-09-07 23:44:00.000 +0200,23040.0,98
"2024-0053327",EA33,Unitrans Supply Chain Sols,CAA418992,2024-09-10 22:07:00.000,2024-09-11 01:35:00.000,91.48,2024-09-10 20:48:00.000 +0200,12480.0,99
"2024-0059250",EA33,Unitrans Supply Chain Sols,CAA548852,2024-10-08 21:46:00.000,,79.68,2024-10-08 21:41:00.000 +0200,,0
"2024-0059283",EA33,Unitrans Supply Chain Sols,CAA425438,2024-10-09 01:15:00.000,,87.83,2024-10-09 01:11:00.000 +0200,,0
"2024-0045169",EB06,Tanker Services Fuel,KP69YSGP,2024-08-02 20:46:00.000,,47.03,2024-08-02 20:33:00.000 +0200,,0
"2024-0045169",EB06,Tanker Services Fuel,KP69YSGP,2024-08-02 20:46:00.000,2024-08-03 12:32:00.000,47.03,2024-08-02 20:33:00.000 +0200,56760.0,292
"2024-0058169",EB23,Makwande,KNM209MP,2024-10-04 00:47:00.000,,84.9,2024-10-04 00:45:00.000 +0200,,0
"2024-0063620",EB23,Makwande,JMJ091MP,2024-10-28 23:04:00.000,,90.28,2024-10-28 23:02:00.000 +0200,,0
"2024-0045414",EB06,Tanker Services Fuel,KP80NNGP,2024-08-04 09:58:00.000,,91.79,2024-08-04 09:25:00.000 +0200,,0
"2024-0047241",EB23,Makwande,KNM191MP,2024-08-13 10:05:00.000,2024-08-13 18:45:00.000,59.38,2024-08-13 09:58:00.000 +0200,31200.0,337
"2024-0047241",EB23,Makwande,KNP803MP,2024-08-13 10:05:00.000,2024-08-13 18:45:00.000,90.72,2024-08-13 09:58:00.000 +0200,31200.0,337
"2024-0048108",EA33,Reef Tankers,LV19PDGP,2024-08-17 08:29:00.000,,93.54,2024-08-17 08:14:00.000 +0200,,0
"2024-0051640",EB06,Tanker Services Fuel,KP80MRGP,,,92.65,,,44
"2024-0062298",EB21,Makwande,KS49XBGP,2024-10-22 21:18:00.000,2024-10-23 07:30:00.000,92.86,2024-10-22 21:18:00.000 +0200,36720.0,219
"2024-0062298",EB21,Makwande,KS49WFGP,2024-10-22 21:18:00.000,2024-10-23 07:30:00.000,88.06,2024-10-22 21:18:00.000 +0200,36720.0,219
"2024-0054157",EA33,Unitrans Supply Chain Sols,CAA425312,2024-09-14 12:19:00.000,,83.31,2024-09-14 08:25:00.000 +0200,,0
"2024-0055711",EB23,Makwande,KNM197MP,2024-09-22 08:59:00.000,2024-09-22 14:00:00.000,87.02,2024-09-22 08:56:00.000 +0200,18060.0,137
"2024-0060063",EB21,Makwande,KS49XBGP,2024-10-12 16:00:00.000,2024-10-13 01:40:00.000,94.15,2024-10-12 16:00:00.000 +0200,34800.0,216
"2024-0060063",EB21,Makwande,KS49WFGP,2024-10-12 16:00:00.000,2024-10-13 01:40:00.000,79.02,2024-10-12 16:00:00.000 +0200,34800.0,216
"2024-0061250",EB06,Reef Tankers,LC21FRGP,2024-10-17 23:29:00.000,,89.28,2024-10-17 23:25:00.000 +0200,,0
"2024-0047480",EA33,Unitrans Supply Chain Sols,CAA170724,2024-08-14 11:16:00.000,2024-08-14 14:32:00.000,94.01,2024-08-14 08:05:00.000 +0200,11760.0,137
"2024-0045845",EA33,Reef Tankers,HH81RLGP,2024-08-06 10:18:00.000,2024-08-06 21:40:00.000,89.8,2024-08-06 10:10:00.000 +0200,40920.0,363
"2024-0063062",EA35,Unitrans Supply Chain Sols,CAA419011,2024-10-26 10:50:00.000,,25.81,2024-10-26 10:45:00.000 +0200,,0
"2024-0054372",EB06,Tanker Services Fuel,KP74KMGP,2024-09-15 23:58:00.000,,93.44,2024-09-15 23:43:00.000 +0200,,0
"2024-0054372",EB06,Tanker Services Fuel,KP80ZYGP,2024-09-15 23:58:00.000,,91.66,2024-09-15 23:43:00.000 +0200,,0
"2024-0056477",EB21,Makwande,KS49XLGP,2024-09-25 19:16:00.000,2024-09-25 23:39:00.000,81.89,2024-09-25 19:16:00.000 +0200,15780.0,182
"2024-0059699",EB23,Makwande,KNP800MP,2024-10-10 19:21:00.000,2024-10-11 00:40:00.000,65.61,2024-10-10 19:21:00.000 +0200,19140.0,148
"2024-0046551",EB23,Makwande,KNP800MP,2024-08-09 18:25:00.000,,56.02,2024-08-09 18:20:00.000 +0200,,0
"2024-0046551",EB23,Makwande,KNP802MP,2024-08-09 18:25:00.000,,72.96,2024-08-09 18:20:00.000 +0200,,0
"2024-0046605",EB06,Tanker Services Fuel,KP70BFGP,2024-08-10 03:08:00.000,,82.53,2024-08-10 03:03:00.000 +0200,,0
"2024-0052759",EA33,Unitrans Supply Chain Sols,CAA419006,2024-09-08 16:27:00.000,,82.93,2024-09-08 15:54:00.000 +0200,,0
"2024-0061837",EB06,Makwande,JR54VBGP,2024-10-20 22:15:00.000,,91.91,2024-10-20 22:09:00.000 +0200,,0
"2024-0062513",EB21,Makwande,KP41VSGP,2024-10-23 19:54:00.000,,93.28,2024-10-23 19:54:00.000 +0200,,0
"2024-0055002",EB21,Makwande,KN67GLGP,2024-09-18 14:35:00.000,,81.68,2024-09-18 14:35:00.000 +0200,,0
"2024-0055690",EB21,Makwande,KS49VWGP,2024-09-22 01:09:00.000,2024-09-22 13:11:00.000,61.49,2024-09-22 01:09:00.000 +0200,43320.0,135
"2024-0055690",EB21,Makwande,KS49WLGP,2024-09-22 01:09:00.000,2024-09-22 13:11:00.000,93.18,2024-09-22 01:09:00.000 +0200,43320.0,135
"2024-0056524",EA33,Unitrans Supply Chain Sols,CAA173582,2024-09-26 00:25:00.000,2024-09-26 12:06:00.000,93.77,2024-09-26 00:09:00.000 +0200,42060.0,114
